Date,Name,Role,Projects_Finished,Real_Time_Projects,Internship,Educational_Background,Applied Jobs,Getting Interview call,Placement_Statistics (%),Rejection_Reasons,City
12/31/2024,Candidate_87,Python Fullstack Developer,15,Yes,No,B.Tech,140,49.66,73.42,No experience,Bangalore
7/5/2024,Candidate_88,Data Analyst,4,Yes,No,MCA,268,66.25,61.1,Lack of skills,Hyderabad
2/3/2024,Candidate_89,Python Fullstack Developer,6,Yes,Yes,MCA,198,43.24,44.6,Lack of skills,Bangalore
1/18/2024,Candidate_90,Python Fullstack Developer,10,Yes,No,MCA,232,58.55,40.65,Lack of skills,Bangalore
2/10/2024,Candidate_91,AI/ML Engineer,15,Yes,Yes,MCA,210,31.95,72.37,No experience,Chennai
8/17/2024,Candidate_92,Python Fullstack Developer,9,Yes,Yes,B.Tech,146,22.52,85.81,Lack of skills,Bangalore
10/16/2024,Candidate_93,Data Analyst,10,Yes,No,B.Tech,213,47.17,54.95,Lack of skills,Bangalore
6/3/2024,Candidate_94,Python Fullstack Developer,4,Yes,No,B.Tech,106,20.22,44.33,Lack of skills,Chennai
1/24/2024,Candidate_95,Python Fullstack Developer,3,No,Yes,M.Tech,277,41.33,44.51,Lack of skills,Bangalore
5/19/2024,Candidate_96,DevOps Engineer,4,Yes,No,MCA,152,79.26,82.04,Communication issues,Chennai
12/30/2024,Candidate_97,Data Analyst,6,Yes,Yes,B.Tech,198,76.04,89.66,No experience,Bangalore
7/12/2024,Candidate_98,Data Analyst,1,No,Yes,MCA,245,58.92,51.24,Lack of skills,Bangalore
12/21/2024,Candidate_99,AI/ML Engineer,14,Yes,No,B.Tech,270,44.93,54.11,No experience,Hyderabad
11/11/2024,Candidate_100,Python Fullstack Developer,12,Yes,Yes,M.Tech,144,70.25,80.39,Lack of skills,Hyderabad
1/5/2024,Candidate_101,Data Analyst,3,No,No,B.Tech,169,78.18,67.08,Communication issues,Hyderabad
9/20/2024,Candidate_102,QA Engineer,0,No,Yes,B.Tech,290,71.72,45.03,Lack of skills,Hyderabad
9/6/2024,Candidate_103,Data Analyst,9,Yes,Yes,B.Tech,274,25.11,70.71,Lack of skills,Bangalore
7/15/2024,Candidate_104,Data Analyst,1,No,No,BCA,244,70.58,86.12,Lack of skills,Bangalore
4/7/2024,Candidate_105,Data Analyst,2,No,Yes,B.Tech,296,55.68,69.57,No experience,Bangalore
8/22/2024,Candidate_106,Data Analyst,10,Yes,Yes,B.Tech,139,53.68,78.62,No experience,Bangalore
2/10/2024,Candidate_107,Python Fullstack Developer,14,Yes,No,BCA,264,26.99,63.47,Lack of skills,Chennai
6/8/2024,Candidate_108,Python Fullstack Developer,1,No,Yes,MCA,202,28.15,66.14,No experience,Bangalore
6/15/2024,Candidate_109,Python Fullstack Developer,3,No,No,M.Tech,247,49.66,40.75,Lack of skills,Bangalore
12/15/2024,Candidate_110,AI/ML Engineer,9,Yes,Yes,B.Tech,300,79.77,78.65,Lack of skills,Chennai
11/16/2024,Candidate_111,Python Fullstack Developer,0,No,No,M.Tech,150,63.55,78.01,No experience,Bangalore
4/6/2024,Candidate_112,DevOps Engineer,9,Yes,Yes,B.Tech,138,40.44,61.49,Lack of skills,Chennai
7/2/2024,Candidate_113,Python Fullstack Developer,6,Yes,Yes,MCA,205,57.5,67.41,High competition,Bangalore
3/6/2024,Candidate_114,Data Analyst,10,Yes,Yes,MCA,181,21.95,54.71,Lack of skills,Chennai
11/30/2024,Candidate_115,Python Fullstack Developer,6,Yes,No,B.Tech,219,70.11,47.04,Lack of skills,Bangalore
11/14/2024,Candidate_116,Python Fullstack Developer,6,Yes,No,B.Tech,162,39.02,66.71,No experience,Chennai
4/19/2024,Candidate_117,AI/ML Engineer,9,Yes,No,B.Tech,289,38.72,68.37,Communication issues,Bangalore
8/21/2024,Candidate_118,Data Analyst,8,Yes,Yes,MCA,133,69.33,71.09,Lack of skills,Bangalore
8/10/2024,Candidate_119,Data Analyst,10,Yes,No,BCA,295,37.61,47.97,Communication issues,Bangalore
2/25/2024,Candidate_120,DevOps Engineer,14,Yes,No,B.Tech,224,71.52,70.35,No experience,Bangalore
10/6/2024,Candidate_121,QA Engineer,3,No,Yes,MCA,180,23.29,79.25,Lack of skills,Chennai
7/16/2024,Candidate_122,Python Fullstack Developer,8,Yes,Yes,B.Tech,256,38.01,66.4,No experience,Bangalore
10/11/2024,Candidate_123,Data Analyst,4,Yes,No,M.Tech,295,77.84,67,Lack of skills,Bangalore
7/13/2024,Candidate_124,Python Fullstack Developer,5,Yes,No,B.Tech,256,28.22,67.9,High competition,Bangalore
1/1/2024,Candidate_125,Python Fullstack Developer,8,Yes,No,BCA,235,35.5,66,No experience,Chennai
4/28/2024,Candidate_126,Python Fullstack Developer,3,No,No,B.Tech,288,42.77,71.76,Lack of skills,Bangalore
1/8/2024,Candidate_127,QA Engineer,0,No,No,MCA,260,29.18,45.92,No experience,Bangalore
12/6/2024,Candidate_128,QA Engineer,3,No,No,B.Tech,109,40.4,66.46,No experience,Chennai
11/17/2024,Candidate_129,QA Engineer,6,Yes,Yes,B.Tech,273,44.72,74.11,Lack of skills,Bangalore
10/31/2024,Candidate_130,Data Analyst,11,Yes,Yes,B.Tech,124,24.46,72.04,Lack of skills,Chennai
4/22/2024,Candidate_131,DevOps Engineer,10,Yes,No,B.Tech,116,51.86,79.08,Lack of skills,Chennai
1/22/2024,Candidate_132,Python Fullstack Developer,8,Yes,Yes,B.Tech,121,24.51,43.63,Lack of skills,Chennai
11/17/2024,Candidate_133,Data Analyst,4,Yes,Yes,B.Tech,105,38.5,41.53,Communication issues,Bangalore
12/12/2024,Candidate_134,Python Fullstack Developer,9,Yes,Yes,M.Tech,102,37.99,80.14,High competition,Bangalore
2/1/2024,Candidate_135,AI/ML Engineer,7,Yes,Yes,M.Tech,113,21.36,61.44,Lack of skills,Bangalore
6/26/2024,Candidate_136,QA Engineer,5,Yes,No,M.Tech,184,78.88,58.15,No experience,Bangalore
1/26/2024,Candidate_137,AI/ML Engineer,2,No,No,B.Tech,123,39.67,82.19,No experience,Bangalore
10/5/2024,Candidate_138,Data Analyst,9,Yes,Yes,MCA,180,62.71,68.47,Lack of skills,Hyderabad
10/7/2024,Candidate_139,Data Analyst,10,Yes,Yes,BCA,191,72.17,84.84,Communication issues,Bangalore
2/16/2024,Candidate_140,Data Analyst,14,Yes,No,BCA,151,75.88,41.17,Lack of skills,Chennai
6/22/2024,Candidate_141,Data Analyst,1,No,Yes,MCA,290,56.17,69.74,No experience,Bangalore
7/20/2024,Candidate_142,Data Analyst,4,Yes,No,B.Tech,138,71.09,46.33,Lack of skills,Hyderabad
4/7/2024,Candidate_143,AI/ML Engineer,0,No,No,MCA,154,41.75,87.16,Lack of skills,Bangalore
11/15/2024,Candidate_144,Python Fullstack Developer,15,Yes,Yes,B.Tech,178,25.71,46.64,No experience,Bangalore
6/3/2024,Candidate_145,Python Fullstack Developer,1,No,Yes,MCA,116,35.85,84.06,Lack of skills,Chennai
3/18/2024,Candidate_146,Python Fullstack Developer,3,No,No,B.Tech,192,40.03,78.2,Lack of skills,Hyderabad
7/16/2024,Candidate_147,Python Fullstack Developer,12,Yes,Yes,B.Tech,259,73.3,57.93,No experience,Chennai
9/24/2024,Candidate_148,AI/ML Engineer,1,No,Yes,MCA,180,30.96,82.46,Communication issues,Bangalore
3/14/2024,Candidate_149,Data Analyst,2,No,Yes,M.Tech,249,32.74,71.55,No experience,Bangalore
4/24/2024,Candidate_150,Python Fullstack Developer,13,Yes,No,MCA,214,68.02,68.87,No experience,Bangalore
12/30/2024,Candidate_151,Python Fullstack Developer,12,Yes,Yes,MCA,221,33.89,81.55,Lack of skills,Chennai
8/25/2024,Candidate_152,Data Analyst,5,Yes,Yes,BCA,186,36.59,49.34,Lack of skills,Chennai
6/9/2024,Candidate_153,Data Analyst,14,Yes,Yes,MCA,280,70.49,40.73,Communication issues,Bangalore
7/8/2024,Candidate_154,Python Fullstack Developer,11,Yes,Yes,MCA,144,53.01,88.89,Lack of skills,Bangalore
2/14/2024,Candidate_155,Data Analyst,9,Yes,No,M.Tech,174,52.48,67.66,High competition,Bangalore
3/23/2024,Candidate_156,DevOps Engineer,10,Yes,Yes,BCA,177,71.56,40.29,Communication issues,Chennai
5/3/2024,Candidate_157,Python Fullstack Developer,6,Yes,No,BCA,125,68.69,87.18,Communication issues,Bangalore
8/3/2024,Candidate_158,Data Analyst,2,No,Yes,B.Tech,243,52.94,84.87,Communication issues,Chennai
3/25/2024,Candidate_159,Python Fullstack Developer,14,Yes,Yes,BCA,140,54.64,58.43,High competition,Chennai
3/21/2024,Candidate_160,DevOps Engineer,4,Yes,No,M.Tech,138,61.43,46.96,Lack of skills,Bangalore
1/26/2024,Candidate_161,Python Fullstack Developer,2,No,Yes,B.Tech,141,37.83,43.64,Lack of skills,Bangalore
8/18/2024,Candidate_162,Data Analyst,14,Yes,No,MCA,206,53.14,63.05,Communication issues,Chennai
3/24/2024,Candidate_163,Python Fullstack Developer,3,No,Yes,MCA,130,37.85,56.78,High competition,Chennai
11/27/2024,Candidate_164,AI/ML Engineer,14,Yes,No,B.Tech,236,73.72,55.72,No experience,Bangalore
11/10/2024,Candidate_165,DevOps Engineer,9,Yes,Yes,BCA,258,65.14,87.87,Lack of skills,Bangalore
1/26/2024,Candidate_166,Data Analyst,14,Yes,No,B.Tech,204,22.44,63.03,Lack of skills,Chennai
3/28/2024,Candidate_167,Data Analyst,15,Yes,No,BCA,140,75.13,62.85,Lack of skills,Bangalore
9/1/2024,Candidate_168,Python Fullstack Developer,7,Yes,Yes,B.Tech,243,45.21,75.3,Lack of skills,Chennai
3/19/2024,Candidate_169,Python Fullstack Developer,7,Yes,No,BCA,241,59.47,73.55,High competition,Chennai
2/18/2024,Candidate_170,Python Fullstack Developer,4,Yes,Yes,B.Tech,260,36.14,46.9,Communication issues,Bangalore
12/8/2024,Candidate_171,Data Analyst,8,Yes,Yes,M.Tech,220,23.12,54.84,Communication issues,Bangalore
7/28/2024,Candidate_172,AI/ML Engineer,11,Yes,No,B.Tech,279,24.12,70.11,Lack of skills,Bangalore
6/21/2024,Candidate_173,AI/ML Engineer,12,Yes,Yes,BCA,171,76.94,79.2,Communication issues,Chennai
10/14/2024,Candidate_174,Data Analyst,5,Yes,Yes,MCA,276,55.3,44.83,High competition,Bangalore
10/22/2024,Candidate_175,AI/ML Engineer,10,Yes,No,B.Tech,163,26.41,73.65,Lack of skills,Bangalore
3/10/2024,Candidate_176,AI/ML Engineer,10,Yes,Yes,M.Tech,129,48.62,81.74,Lack of skills,Bangalore
2/5/2024,Candidate_177,Data Analyst,14,Yes,No,B.Tech,269,48.15,67.57,No experience,Chennai
6/6/2024,Candidate_178,QA Engineer,15,Yes,No,B.Tech,137,41.67,54.02,Lack of skills,Bangalore
6/4/2024,Candidate_179,Python Fullstack Developer,0,No,Yes,B.Tech,213,52.52,70.43,Lack of skills,Bangalore
6/19/2024,Candidate_180,AI/ML Engineer,2,No,Yes,B.Tech,124,35.86,69.61,Lack of skills,Bangalore
9/23/2024,Candidate_181,AI/ML Engineer,15,Yes,No,M.Tech,293,55.45,87,No experience,Bangalore
9/3/2024,Candidate_182,Data Analyst,3,No,Yes,MCA,110,53.67,61.79,Communication issues,Bangalore
12/26/2024,Candidate_183,Data Analyst,11,Yes,Yes,B.Tech,134,67.65,48.85,Lack of skills,Bangalore
2/6/2024,Candidate_184,AI/ML Engineer,15,Yes,Yes,B.Tech,197,24.92,47.05,Communication issues,Bangalore
5/27/2024,Candidate_185,Data Analyst,14,Yes,Yes,M.Tech,221,30.1,87.15,High competition,Chennai
5/4/2024,Candidate_186,DevOps Engineer,5,Yes,No,MCA,197,58.91,56.71,Communication issues,Chennai
11/11/2024,Candidate_187,AI/ML Engineer,9,Yes,No,MCA,222,54.14,69.38,No experience,Bangalore
4/1/2024,Candidate_188,Data Analyst,11,Yes,Yes,B.Tech,143,72,62.46,Lack of skills,Bangalore
3/10/2024,Candidate_189,DevOps Engineer,4,Yes,No,B.Tech,296,57.85,80.56,Communication issues,Bangalore
6/13/2024,Candidate_190,Data Analyst,3,No,No,B.Tech,105,21.01,84.08,Communication issues,Chennai
6/3/2024,Candidate_191,Data Analyst,12,Yes,Yes,B.Tech,250,33.11,85.67,No experience,Bangalore
4/11/2024,Candidate_192,AI/ML Engineer,3,No,No,B.Tech,276,62.49,53.22,Lack of skills,Chennai
4/1/2024,Candidate_193,Python Fullstack Developer,10,Yes,No,M.Tech,192,30.16,76.57,No experience,Hyderabad
12/3/2024,Candidate_194,Data Analyst,2,No,Yes,M.Tech,212,77.44,53.32,Lack of skills,Chennai
6/11/2024,Candidate_195,Python Fullstack Developer,9,Yes,Yes,B.Tech,249,71.83,46.59,Lack of skills,Chennai
11/11/2024,Candidate_196,Data Analyst,14,Yes,No,M.Tech,246,50.58,81.17,No experience,Chennai
7/20/2024,Candidate_197,Python Fullstack Developer,12,Yes,Yes,B.Tech,146,79.38,57.33,Lack of skills,Chennai
1/19/2024,Candidate_198,Python Fullstack Developer,13,Yes,Yes,MCA,214,20.32,54.68,Lack of skills,Bangalore
12/31/2024,Candidate_199,Data Analyst,7,Yes,No,M.Tech,105,51.38,64.31,High competition,Hyderabad
11/1/2024,Candidate_200,Data Analyst,7,Yes,No,BCA,225,36.4,81.75,No experience,Bangalore
12/20/2024,Candidate_201,Data Analyst,5,Yes,Yes,B.Tech,271,67.68,55.95,Lack of skills,Chennai
12/5/2024,Candidate_202,Python Fullstack Developer,15,Yes,No,B.Tech,245,66.58,78.98,No experience,Chennai
11/6/2024,Candidate_203,AI/ML Engineer,12,Yes,Yes,MCA,188,31.25,46.32,Communication issues,Bangalore
3/1/2024,Candidate_204,Data Analyst,2,No,No,B.Tech,186,52.85,82.25,Communication issues,Hyderabad
6/26/2024,Candidate_205,Python Fullstack Developer,10,Yes,Yes,B.Tech,121,23.56,47.08,Lack of skills,Bangalore
3/19/2024,Candidate_206,Data Analyst,6,Yes,No,B.Tech,194,32.66,82.23,High competition,Bangalore
5/26/2024,Candidate_207,DevOps Engineer,13,Yes,No,B.Tech,117,60.01,58.36,Lack of skills,Bangalore
1/22/2024,Candidate_208,Data Analyst,13,Yes,No,MCA,145,31.55,81.53,High competition,Bangalore
5/18/2024,Candidate_209,Python Fullstack Developer,10,Yes,Yes,M.Tech,134,51.67,75.52,Communication issues,Chennai
12/26/2024,Candidate_210,Data Analyst,7,Yes,No,B.Tech,259,40.66,40.9,Lack of skills,Chennai
4/7/2024,Candidate_211,Data Analyst,5,Yes,No,M.Tech,176,44.27,76.72,No experience,Bangalore
10/13/2024,Candidate_212,QA Engineer,2,No,No,B.Tech,273,55.45,43.17,Lack of skills,Bangalore
6/15/2024,Candidate_213,DevOps Engineer,15,Yes,Yes,M.Tech,200,74.64,59.96,Lack of skills,Bangalore
6/3/2024,Candidate_214,Python Fullstack Developer,3,No,No,B.Tech,138,37.26,86.27,Lack of skills,Bangalore
12/16/2024,Candidate_215,QA Engineer,14,Yes,Yes,B.Tech,128,34.94,84.92,No experience,Bangalore
12/30/2024,Candidate_216,AI/ML Engineer,10,Yes,Yes,M.Tech,271,71.37,60.5,Lack of skills,Bangalore
7/22/2024,Candidate_217,Python Fullstack Developer,3,No,No,B.Tech,150,27.48,87.53,High competition,Bangalore
9/19/2024,Candidate_218,Data Analyst,14,Yes,No,BCA,262,45.21,62.97,No experience,Chennai
2/26/2024,Candidate_219,Python Fullstack Developer,5,Yes,No,BCA,182,58.9,50.56,High competition,Chennai
4/18/2024,Candidate_220,AI/ML Engineer,9,Yes,Yes,BCA,174,49.86,46.8,Lack of skills,Hyderabad
12/20/2024,Candidate_221,Data Analyst,12,Yes,Yes,B.Tech,282,78.67,82.38,Communication issues,Hyderabad
7/30/2024,Candidate_222,Data Analyst,2,No,Yes,MCA,121,44.33,63.5,No experience,Bangalore
7/17/2024,Candidate_223,Data Analyst,3,No,Yes,MCA,190,31.47,48.88,No experience,Bangalore
9/30/2024,Candidate_224,Python Fullstack Developer,12,Yes,Yes,M.Tech,254,35.18,48.15,Communication issues,Bangalore
1/21/2024,Candidate_225,QA Engineer,10,Yes,No,B.Tech,226,27.69,68,Lack of skills,Bangalore
8/1/2024,Candidate_226,Data Analyst,15,Yes,No,B.Tech,104,31.06,56.4,No experience,Chennai
7/3/2024,Candidate_227,DevOps Engineer,1,No,Yes,B.Tech,259,58.45,76.06,No experience,Chennai
11/8/2024,Candidate_228,QA Engineer,2,No,Yes,M.Tech,251,27.2,79.38,No experience,Chennai
2/27/2024,Candidate_229,QA Engineer,6,Yes,Yes,B.Tech,206,60.26,40.25,No experience,Hyderabad
12/17/2024,Candidate_230,Data Analyst,4,Yes,Yes,B.Tech,143,27.95,44.45,No experience,Bangalore
1/30/2024,Candidate_231,Python Fullstack Developer,0,No,Yes,B.Tech,193,22.41,66.01,Communication issues,Bangalore
3/9/2024,Candidate_232,Data Analyst,4,Yes,Yes,M.Tech,164,79.89,87.27,High competition,Bangalore
8/5/2024,Candidate_233,DevOps Engineer,4,Yes,No,MCA,149,64.69,80.84,No experience,Chennai
9/4/2024,Candidate_234,Data Analyst,14,Yes,Yes,M.Tech,231,63.88,49.14,Lack of skills,Bangalore
3/27/2024,Candidate_235,Python Fullstack Developer,9,Yes,No,B.Tech,171,61.04,74.44,No experience,Bangalore
2/13/2024,Candidate_236,Data Analyst,12,Yes,Yes,B.Tech,233,27.98,75.85,High competition,Chennai
11/21/2024,Candidate_237,Data Analyst,14,Yes,Yes,B.Tech,106,33.09,52.02,High competition,Chennai
3/31/2024,Candidate_238,Python Fullstack Developer,6,Yes,Yes,B.Tech,225,77.56,46.81,No experience,Chennai
